EXAM_YEAR_ID;SEMESTER;EXAM DATE;EXAM_STATUS_ID;CODE;NAME;TEACHERS SCIPERS;CONTACTS SCIPER;SERVICE_LEVEL_ID;RESPONSABLE;NB STUDENTS;NB PAGES;TOTAL PAGES;SERVICE_TYPE_ID;EXAM_TYPE_ID;DEADLINE PREP;DEADLINE REPRO;REMARK;SECTION
3;1;21.01.20;15;MATH-189;Mathématiques;121777;302111;1;283365;241;8;1928;4;1;;;;MA
3;1;21.01.20;15;ENG-383;Droit de l’architecte, Introduction : contrats et concours;111310;;1;283365;150;12;1800;4;1;;;;Other
3;1;21.01.20;15;CIVIL-261;Computational Thinking;129343;;1;275804;55;16;880;4;1;;;;GC
3;1;20.12.19;15;EE-100;Électrotechnique I (lab);106775;;1;283365;305;5;1525;2;1;;;Answersheets + 4 pages booklet;EL
3;1;20.12.19;15;CS-119(d);Information, calcul, communication Exam III;112547;;1;283365;300;16;4800;1;1;;;Scan and Zbar ;IC
3;1;20.01.20;15;MATH-111(pi);Algèbre linéaire (pi);121157;;1;283365;176;12;2112;4;1;;;;MA
3;1;20.01.20;15;MATH-111(g);Algèbre linéaire (g);149640;;1;283365;180;12;2160;4;1;;;;MA
3;1;20.01.20;15;MATH-111(f);Algèbre linéaire (f);105396;;1;283365;229;12;2748;4;1;;;;MA
3;1;20.01.20;15;MATH-111(en);Algèbre linéaire (en);113868;;1;283365;249;12;2988;4;1;;;;MA
3;1;20.01.20;15;MATH-111(e);Algèbre linéaire (d);306127;;1;283365;336;16;5376;4;1;;;;MA
3;1;20.01.20;15;MATH-111(d);Algèbre linéaire (c);NULL;;1;283365;284;12;3408;4;1;;;;MA
3;1;20.01.20;15;MATH-111(c);Algèbre linéaire (e);178578;;1;283365;165;12;1980;4;1;;;;MA
3;1;20.01.20;15;MATH-111(a);Algèbre linéaire (a);101466;;1;283365;242;16;3872;4;1;;;;MA
3;1;18.11.19;15;MATH-101(g) Mock;Analyse I (g);271675;;1;283365;198;4;792;4;3;;;;MA
3;1;18.11.19;15;MATH-101(f) Mock;Analyse I (f);121777;;1;283365;298;4;1192;4;3;;;;MA
3;1;18.11.19;15;MATH-101(en) Mock;Analyse I (en);270833;;1;283365;138;4;552;4;3;;;;MA
3;1;18.11.19;15;MATH-101(e) Mock;Analyse I (e);167946;;1;283365;357;4;1428;4;3;;;;MA
3;1;18.11.19;15;MATH-101(de) Mock;Analyse I (de);213191;;1;283365;33;4;660;4;3;;;;MA
3;1;18.11.19;15;MATH-101(d) Mock;Analyse I (d);166061;;1;283365;318;4;1220;4;3;;;;MA
3;1;18.11.19;15;MATH-101(c) Mock;Analyse I (c);101466;;1;283365;283;4;1132;4;3;;;;MA
3;1;18.11.19;15;MATH-101(a) Mock;Analyse I (a);302111;;1;283365;218;4;872;4;3;;;;MA
3;1;17.01.20;15;PHYS-101;Physique générale : mécanique;178548;;1;283365;430;24;10320;3;1;;;ANS pilot project;PH
3;1;16.01.20;15;MATH-234(d);Probabilités et statistiques;NULL;;1;283365;245;24;5880;4;1;;;;MA
3;1;15.01.20;15;CS-433;Machine Learning;124369;;1;283365;527;16;8432;4;1;;;;IC
3;1;15.01.20;15;CH-160(b);Chimie Générale GC;109839;;1;283365;106;12;1272;4;1;;;;CGC
3;1;15.01.20;15;CH-160(a);Chimie Générale Avancée;109839;;1;283365;779;24;18696;4;1;;;Archiving impose_exam;CGC
3;1;14.01.20;15;ME-445;Aerodynamics;252550;;1;283365;92;16;1472;4;1;;;;GM
3;1;14.01.20;15;MATH-110(b);Algèbre linéaire avancé 1;106581;;1;283365;195;16;3120;4;1;;;;MA
3;1;14.01.20;15;MATH-110(a);Advanced linear algebra I;133751;316207;1;283365;172;28;4816;4;1;;;;MA
3;1;13.12.19;15;ME-101/ME-106;Construction mécanique I;NULL;;1;283365;580;1;580;4;1;;;Answersheets;GM
3;1;13.01.20;15;MATH-203(b);Analyse III;235589;;1;283365;60;12;720;4;1;;;;MA
3;1;13.01.20;15;MATH-101(g);Analyse I (g);271675;;1;283365;198;16;3168;4;1;;;;MA
3;1;13.01.20;15;MATH-101(f);Analyse I (f);121777;;1;283365;298;16;4768;4;1;;;;MA
3;1;13.01.20;15;MATH-101(en);Analyse I (en);270833;;1;283365;138;16;2208;4;1;;;;MA
3;1;13.01.20;15;MATH-101(e);Analyse I (e);167946;;1;283365;357;16;5712;4;1;;;;MA
3;1;13.01.20;15;MATH-101(de);Analyse I (de);213191;;1;283365;33;12;396;4;1;;;;MA
3;1;13.01.20;15;MATH-101(d);Analyse I (d);166061;;1;283365;318;12;3816;4;1;;;;MA
3;1;13.01.20;15;MATH-101(c);Analyse I (c);101466;;1;283365;283;16;4528;4;1;;;;MA
3;1;13.01.20;15;MATH-101(a);Analyse I (a);302111;;1;283365;218;16;3488;4;1;;;;MA
3;1;12.11.19;15;UNIL-130 Mock;Mathématiques I SFU – police scientifique;149640;;1;283365;224;4;896;4;3;;;;UNIL
3;1;12.11.19;15;UNIL-114 Mock;Mathématiques pour les Géosciences;149640;;1;283365;191;4;764;4;3;;;;UNIL
3;1;11.11.19;15;MATH-111(pi) Mock;Algèbre linéaire (pi);121157;;1;283365;176;8;1408;4;3;;;;MA
3;1;11.11.19;15;MATH-111(g) Mock;Algèbre linéaire (g);149640;;1;283365;180;8;1440;4;3;;;;MA
3;1;11.11.19;15;MATH-111(f) Mock;Algèbre linéaire (f);105396;;1;283365;229;8;1832;4;3;;;;MA
3;1;11.11.19;15;MATH-111(en) Mock;Algèbre linéaire (en);113868;;1;283365;249;8;1992;4;3;;;;MA
3;1;11.11.19;15;MATH-111(e) Mock;Algèbre linéaire (d);306127;;1;283365;336;8;1200;4;3;;;;MA
3;1;11.11.19;15;MATH-111(d) Mock;Algèbre linéaire (c);NULL;;1;283365;284;8;2272;4;3;;;;MA
3;1;11.11.19;15;MATH-111(c) Mock;Algèbre linéaire (e);178578;;1;283365;165;8;1320;4;3;;;;MA
3;1;11.11.19;15;MATH-111(a) Mock;Algèbre linéaire (a);101466;;1;283365;242;8;1936;4;3;;;;MA
3;1;08.11.19;15;MATH-265;Introduction to optimization and operations research;118332;;1;283365;130;20;2600;4;1;;;Scan only;MA
3;1;05.12.19;15;ENG-445;Building energetics;283341;;1;283365;114;4;456;4;1;;;;Other
3;1;03.12.19;15;UNIL-114 Mock 2;Mathématiques pour les Géosciences;149640;;1;283365;191;4;764;4;3;;;;UNIL
2;2;29.04.19;15;UNIL-131 Mock;Mathématiques II (esc);149640;;1;283365;163;4;652;4;3;;;;UNIL
2;2;28.06.19;15;MATH-123(b);Géométrie;NULL;;1;283365;62;8;496;4;1;;;;MA
2;2;28.06.19;15;CS-442;Computer Vision;112366;;1;283365;139;16;2224;4;1;;;;IC
2;2;28.05.19;15;HUM-263 ;Histoire des médias;NULL;;1;283365;40;8;320;4;1;;;;SHS
2;2;28.05.19;15;HUM-257;Santé, population et société;300621;;1;283365;79;12;948;4;1;;;;SHS
2;2;28.04.19;15;MATH-106(e) Mock;Analyse II (e);167946;;1;283365;1;4;4;4;3;;;Only one copy !;MA
2;2;27.06.19;15;MATH-115(b);Advanced Linear Algebra II;280037;;1;283365;130;32;4160;4;1;;;;MA
2;2;27.06.19;15;MATH-115(a);Algèbre linéaire Avancée II;183121;;1;283365;154;16;2464;4;1;;;;MA
2;2;27.06.19;15;CS-233;Introduction to machine learning;112366;;1;283365;267;16;4272;4;1;;;;IC
2;2;27.05.19;15;CS-207;Programmation orientée système;112547;;1;283365;182;12;2184;1;1;;;Scan qrcode et génération pdf et liste ;IC
2;2;25.06.19;15;UNIL-131;Mathématiques II (esc);149640;;1;283365;163;4;652;4;1;;;;UNIL
2;2;25.06.19;15;PREPA-033(b);Mathématiques 1B (pour MAN);101466,173510,106748;;1;283365;747;28;20916;4;1;;;MAN;MAN/CMS
2;2;25.06.19;15;MICRO-502;Aerial Robotics;111729;;1;283365;44;8;352;4;1;;;;MT
2;2;25.06.19;15;MATH-251(d);Analyse Numérique;106096;;1;283365;232;20;4640;4;1;;;;MA
2;2;25.06.19;15;MATH-207(c);Analyse IV;NULL;;1;283365;279;20;5580;4;1;;;;MA
2;2;24.06.19;15;PREPA-031(a);Mathématiques 1A (pour MAN);104677,121777,107044;;1;283365;747;28;20916;4;1;;;MAN;MAN/CMS
2;2;24.06.19;15;MATH-251(c);Analyse numérique;NULL;;1;283365;143;16;2288;4;1;;;;MA
2;2;23.05.19;15;CS-112(g);Programmation Orientée objet final;112547;;1;283365;212;16;3392;1;1;;;Scan qrcode et génération pdf et liste ;IC
2;2;21.06.19;15;UNIL-123;Physique Expérimentale II ;172230;;1;283365;168;24;4032;4;1;;;;UNIL
2;2;21.06.19;15;PHYS-106(b);Physique générale : Thermodynamique;178548;;1;283365;229;20;4580;3;1;;;Test ANS software;PH
2;2;21.06.19;15;AR-121,AR-122;Théorie de l’architecture I et II;105747;;1;283365;146;12;1752;4;1;;;;AR
2;2;20.06.19;15;CS-439;Optimization for machine learning;276449;;1;283365;101;16;1616;4;1;;;;IC
2;2;18.06.19;15;MATH-205;Analyse IV;185384;;1;283365;90;24;2160;4;1;;;;MA
2;2;18.06.19;15;EE-559;Deep learning;146262;;1;283365;227;20;4540;4;1;;;Master;EL
2;2;17.06.19;15;UNIL-108;Mathématiques générales II;NULL;;1;283365;230;8;1840;4;1;;;;UNIL
2;2;17.06.19;15;MATH-106(f);Analyse II (f);120861;;1;283365;153;16;2448;4;1;;;;MA
2;2;17.06.19;15;MATH-106(en);Analyse II (en);138859;;1;283365;193;16;3088;4;1;;;;MA
2;2;17.06.19;15;MATH-106(e);Analyse II (e);167946;;1;283365;210;16;3360;4;1;;;;MA
2;2;17.06.19;15;MATH-106(c);Analyse II (c);166061;;1;283365;206;16;3296;4;1;;;;MA
2;2;17.06.19;15;MATH-106(b);Analyse II (b);NULL;;1;283365;127;12;1524;4;1;;;;MA
2;2;17.06.19;15;MATH-106(a);Analyse II (a);302111;;1;283365;104;16;1664;4;1;;;;MA
2;2;17.06.19;15;COM-402;Information security and privacy;NULL,290659,105427;;1;283365;208;16;3328;4;1;;;Scan only;IC
2;2;12.04.19;15;EE-205 MT;Circuits & Systems II;122796;;1;283365;195;4;780;4;1;;;;EL
2;2;11.04.19;15;CS-112(g);Programmation Orientée objet SN;112547;;1;283365;214;12;2568;1;1;;;Scan qrcode et génération pdf et liste ;IC
2;2;09.04.19;15;HUM-125(a-b);Enjeux Mondiaux : Santé A/B;167289,185819;;1;283365;240;12;2880;4;1;;;;SHS
2;2;09.04.19;15;HUM-124(b);Enjeux Mondiaux : Mobilité (2 version EN + FR);196675,155716;;1;283365;129;8;1032;4;1;;;;SHS
2;2;09.04.19;15;HUM-123(a);Enjeux Mondiaux : Energie A;105078,NULL,111055;;1;283365;118;8;944;4;1;;;;SHS
2;2;09.04.19;15;HUM-121(a-b);Enjeux Mondiaux : Climat A/B;NULL;;1;283365;240;8;1920;4;1;;;;SHS
2;2;06.05.19;15;PHYS-106(b) Mock;Physique générale : Thermodynamique;178548;;1;283365;160;24;3840;3;3;;;Test ANS software;PH
2;2;04.05.19;15;EULER-;Concours Euler;144617;;1;283365;377;4;1508;4;1;;;;Other
2;2;03.07.19;15;PREPA-033;Physique (pour MAN);137850,104677,157882;;1;283365;747;28;20916;4;1;;;;MAN/CMS
2;2;03.07.19;15;MICRO-515;Evolutionary Robotics;111729;;1;283365;45;8;360;4;1;;;;MT
2;2;03.07.19;15;MATH-250;Analyse numérique;271675;;1;283365;94;24;2256;4;1;;;;MA
2;2;02.07.19;15;ME-271;Écoulement des fluides;252550;;1;283365;234;20;4680;4;1;;;;GM
2;2;02.04.19;15;PENS-200;La Maîtrise du sol en droit Suisse;159096;;1;283365;325;8;2600;4;1;;;;ENAC
2;2;02.04.19;15;HUM-257;Santé, population et société ;300621;;1;283365;79;8;632;4;1;;;;SHS
2;2;01.07.19;15;PREPA-032(b);Mathématiques 2B (pour MAN);100527,137850,248612;;1;283365;747;16;11952;4;1;;;;MAN/CMS
2;2;01.07.19;15;PREPA-032(a);Mathématiques 2A (pour MAN);121777,101466,248612;;1;283365;747;12;8964;4;1;;;;MAN/CMS
2;2;01.07.19;15;EE-205;Circuits & Systems II;122796;;1;283365;195;16;3120;4;1;;;;EL
2;1;31.01.19;15;MICRO-450;Bases de la robotique;114980,104561;;1;283365;154;13;2002;2;1;;;1 page answer sheet + 12 pages booklet ;MT
2;1;30.01.19;15;BIO-205;Cellular and molecular biology I;235263,253104;;1;283365;139;1;139;4;1;;;;SV
2;1;29.01.19;15;MATH-265;Introduction à l’optimisation et la recherche opérationnelle;118332;;1;283365;217;40;8680;4;1;;;Scan only;MA
2;1;28.01.19;15;UNIL-107;Mathématiques générales I;121777;;1;283365;315;8;2520;4;1;;;;UNIL
2;1;27.12.18;15;CS-119(c);Information, Calcul et Communication Examen III;112547;;1;283365;310;20;6200;1;1;;;Scan qrcode et génération pdf et liste étudiants;IC
2;1;23.01.19;15;UNIL-130;Mathématiques (FGSE);149640;;1;283365;224;12;2688;4;1;;;;UNIL
2;1;23.01.19;15;UNIL-114;Mathématiques pour les Géosciences;149640;;1;283365;167;8;1336;4;1;;;;UNIL
2;1;23.01.19;15;MATH-189;Mathématiques SAR;121777;;1;283365;232;8;1856;4;1;;;;MA
